CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
68324;322.284738507148;279.529166056235;2.85037149672753;39.9052009541854;300.826721365517;21.4580171416316;0;;;;
68325;349.910361943631;319.469185473043;1.01470588235294;29.4264705882353;301.531638065223;48.3787238784077;0;;;;
68326;69.2621968288374;62.160747553475;5.07246376811595;2.02898550724638;63.31431141224;5.9478854165974;0;;;;
68327;156.964468630522;146.502930168984;4.02366863905326;6.43786982248521;131.698295231045;24.2469605685764;1.00817939009399;;;;
68328;121.732620320856;94.4598930481284;10.3448275862069;16.9278996865204;118.738705513553;2.99391480730223;0;;;;
68329;847.900611659463;594.356232489178;181.389457034868;72.154922135417;630.103895806006;214.738753108895;7.2785527082711;;;;
68330;161.344890636942;142.522972828723;5.37769080234831;13.4442270058708;150.886580556827;9.47688614744063;1.96284786534857;;;;
68331;967.673893803606;897.89914014785;10.4141423366801;59.3606113190764;746.122480304081;217.207719496542;2.23534073998654;;;;
68332;412.761802519042;398.209957858848;4.15766990291261;10.3941747572815;351.744632999253;61.0171695197897;0;;;;
68333;141.854580798049;127.052916247337;4.03681760473975;10.7648469459727;130.293808909314;7.91218244325379;1.91529162613971;;;;
68334;4269.00210554078;3647.3968362503;56.6936401958745;564.911629094606;1507.05571921023;2747.75667276597;150.03401733184;;;;
68335;323.60690183243;212.274777620619;64.9437391235565;46.3883850882546;241.22066876469;81.4079275918028;0.915740340416223;;;;
68336;216.979080091887;196.513963812818;5.11627906976748;15.3488372093024;189.427036236729;25.4325610194916;1.17340694276136;;;;
68337;267.761714052113;235.090068038419;6.32354438974709;26.3481016239462;251.741443408507;16.020270643606;0;;;;
68338;2326.45657277162;1889.11539649468;243.324625036437;194.016551240507;1109.98241478785;1212.6673326924;62.350483196886;;;;
68340;160.782125189155;144.657554742419;4.70299971363117;11.4215707331043;152.817753081445;7.96437210771005;0;;;;
68341;486.304401719002;440.188738829553;7.68594381490822;38.4297190745411;373.638940145698;111.753664392186;3.52801768226042;;;;
68342;866.760491250565;756.527459576357;10.1131221719457;100.119909502262;589.794235123727;275.929067848381;7.2603179491993;;;;
68343;1061.87768901952;995.060920932974;14.4468687754691;52.3698993110755;909.545959167005;148.431930650973;4.00086485306058;;;;
68344;226.862648950166;195.727277771127;13.0567685589519;18.0786026200873;191.633914498099;35.2287344520665;0;;;;
68345;315.990345552356;299.137049622349;5.26665497812741;11.5866409518803;298.009586874556;17.9807586778005;0;;;;
68347;287.645377757331;260.023032373355;11.4299360209558;16.1924093630207;266.216238124801;21.4291396325308;2.85445114769783;;;;
68348;1355.06850031626;1226.96353985616;8.61209818219164;119.492862277909;876.792257742046;473.284493282298;10.0037448789263;;;;
